"File_Name","File_Path","Relative_Path","URL","Artist","Title","Album","Genre","Year","Decade","Duration_Seconds","Duration_Minutes","Duration_Display","Estimated_BPM","File_Size_MB","BPM_Category","Energy_Level","Duration_Category","Folder_Structure","Track_ID","Is_Favorite","Play_Count","Last_Played","Rating","Tags","Notes"
"01 Kaleidoscope.mp3","C:\Users\phseamar\OneDrive - Microsoft\Documents\Music\Art of Trance\Wildlife on One\01 Kaleidoscope.mp3","Art of Trance\Wildlife on One\01 Kaleidoscope.mp3","file:///C:/Users/phseamar/OneDrive - Microsoft/Documents/Music/Art of Trance/Wildlife on One/01 Kaleidoscope.mp3","Art of Trance","01 Kaleidoscope","Wildlife on One","Electronic","","Unknown","489","8.2","8:09","124","9.82","Upbeat (100-129)","High","Long (Over 5 min)","Art of Trance\Wildlife on One","21","False","0","","0","",""
"02 Mosquito.mp3","C:\Users\phseamar\OneDrive - Microsoft\Documents\Music\Art of Trance\Wildlife on One\02 Mosquito.mp3","Art of Trance\Wildlife on One\02 Mosquito.mp3","file:///C:/Users/phseamar/OneDrive - Microsoft/Documents/Music/Art of Trance/Wildlife on One/02 Mosquito.mp3","Art of Trance","02 Mosquito","Wildlife on One","Electronic","","Unknown","430","7.2","7:10","133","9.87","Fast (130-159)","High","Long (Over 5 min)","Art of Trance\Wildlife on One","22","False","0","","0","",""
"04 Haagen Daaz.mp3","C:\Users\phseamar\OneDrive - Microsoft\Documents\Music\Art of Trance\Wildlife on One\04 Haagen Daaz.mp3","Art of Trance\Wildlife on One\04 Haagen Daaz.mp3","file:///C:/Users/phseamar/OneDrive - Microsoft/Documents/Music/Art of Trance/Wildlife on One/04 Haagen Daaz.mp3","Art of Trance","04 Haagen Daaz","Wildlife on One","Electronic","","Unknown","468","7.8","7:48","132","10.31","Fast (130-159)","High","Long (Over 5 min)","Art of Trance\Wildlife on One","24","False","0","","0","",""
"06 Golden Rain.mp3","C:\Users\phseamar\OneDrive - Microsoft\Documents\Music\Art of Trance\Wildlife on One\06 Golden Rain.mp3","Art of Trance\Wildlife on One\06 Golden Rain.mp3","file:///C:/Users/phseamar/OneDrive - Microsoft/Documents/Music/Art of Trance/Wildlife on One/06 Golden Rain.mp3","Art of Trance","06 Golden Rain","Wildlife on One","Electronic","","Unknown","601","10","10:01","122","13.71","Upbeat (100-129)","High","Long (Over 5 min)","Art of Trance\Wildlife on One","26","False","0","","0","",""
"07 Deeper Than Deep.mp3","C:\Users\phseamar\OneDrive - Microsoft\Documents\Music\Art of Trance\Wildlife on One\07 Deeper Than Deep.mp3","Art of Trance\Wildlife on One\07 Deeper Than Deep.mp3","file:///C:/Users/phseamar/OneDrive - Microsoft/Documents/Music/Art of Trance/Wildlife on One/07 Deeper Than Deep.mp3","Art of Trance","07 Deeper Than Deep","Wildlife on One","Electronic","","Unknown","440","7.3","7:20","120","10.58","Upbeat (100-129)","High","Long (Over 5 min)","Art of Trance\Wildlife on One","27","False","0","","0","",""
"08 Blue Owl.mp3","C:\Users\phseamar\OneDrive - Microsoft\Documents\Music\Art of Trance\Wildlife on One\08 Blue Owl.mp3","Art of Trance\Wildlife on One\08 Blue Owl.mp3","file:///C:/Users/phseamar/OneDrive - Microsoft/Documents/Music/Art of Trance/Wildlife on One/08 Blue Owl.mp3","Art of Trance","08 Blue Owl","Wildlife on One","Electronic","","Unknown","543","9","9:03","129","11.66","Upbeat (100-129)","High","Long (Over 5 min)","Art of Trance\Wildlife on One","28","False","0","","0","",""
"09 Emerald Eyes.mp3","C:\Users\phseamar\OneDrive - Microsoft\Documents\Music\Art of Trance\Wildlife on One\09 Emerald Eyes.mp3","Art of Trance\Wildlife on One\09 Emerald Eyes.mp3","file:///C:/Users/phseamar/OneDrive - Microsoft/Documents/Music/Art of Trance/Wildlife on One/09 Emerald Eyes.mp3","Art of Trance","09 Emerald Eyes","Wildlife on One","Electronic","","Unknown","370","6.2","6:10","138","7.94","Fast (130-159)","High","Long (Over 5 min)","Art of Trance\Wildlife on One","29","False","0","","0","",""
"01 Magnifica.mp3","C:\Users\phseamar\OneDrive - Microsoft\Documents\Music\Behind the Eye\01 Magnifica.mp3","Behind the Eye\01 Magnifica.mp3","file:///C:/Users/phseamar/OneDrive - Microsoft/Documents/Music/Behind the Eye/01 Magnifica.mp3","Behind the Eye","01 Magnifica","Unknown Album","Unknown","","Unknown","423","7","7:03","100","8.32","Upbeat (100-129)","Medium","Long (Over 5 min)","Behind the Eye","31","False","0","","0","",""
"04 See You.mp3","C:\Users\phseamar\OneDrive - Microsoft\Documents\Music\Behind the Eye\04 See You.mp3","Behind the Eye\04 See You.mp3","file:///C:/Users/phseamar/OneDrive - Microsoft/Documents/Music/Behind the Eye/04 See You.mp3","Behind the Eye","04 See You","Unknown Album","Unknown","","Unknown","372","6.2","6:12","113","9.43","Upbeat (100-129)","Medium","Long (Over 5 min)","Behind the Eye","34","False","0","","0","",""
"07 Airborn.mp3","C:\Users\phseamar\OneDrive - Microsoft\Documents\Music\Behind the Eye\07 Airborn.mp3","Behind the Eye\07 Airborn.mp3","file:///C:/Users/phseamar/OneDrive - Microsoft/Documents/Music/Behind the Eye/07 Airborn.mp3","Behind the Eye","07 Airborn","Unknown Album","Unknown","","Unknown","372","6.2","6:12","119","9.95","Upbeat (100-129)","Medium","Long (Over 5 min)","Behind the Eye","37","False","0","","0","",""
